"cohort_month","revenue_per_cohort","number_of_customer","average_revenue_per_customer"
2016-10-01 00:00:00.000 +0530,60841.168,321,189.5363488123053
2017-01-01 00:00:00.000 +0530,142362.98,765,186.09540441176472
2017-04-01 00:00:00.000 +0530,431147.44,2352,183.31098533163265
2017-09-01 00:00:00.000 +0530,735112.4,4130,177.99331113801452
2017-03-01 00:00:00.000 +0530,465753.6,2636,176.6895272192716
2017-10-01 00:00:00.000 +0530,784453.5,4470,175.49295302013422
2018-07-01 00:00:00.000 +0530,1055637.4,6071,173.88195931477517
2018-05-01 00:00:00.000 +0530,1137630.8,6622,171.7956433101782
2018-04-01 00:00:00.000 +0530,1145336.2,6711,170.6655118462226
2017-02-01 00:00:00.000 +0530,298918.47,1752,170.61556435502283
2017-05-01 00:00:00.000 +0530,610740.1,3596,169.83874443826474
2018-06-01 00:00:00.000 +0530,998577.2,5940,168.11063762626262
2017-06-01 00:00:00.000 +0530,527415.75,3139,168.02030901561005
2018-03-01 00:00:00.000 +0530,1152217.4,6965,165.42963029432877
2017-11-01 00:00:00.000 +0530,1200087.2,7304,164.30548329682367
2017-08-01 00:00:00.000 +0530,687138.3,4184,164.229998207457
2017-12-01 00:00:00.000 +0530,874597.0,5487,159.3943867322763
2018-01-01 00:00:00.000 +0530,1110743.5,7025,158.11295373665482
2018-08-01 00:00:00.000 +0530,990948.6,6271,158.0208300111625
2017-07-01 00:00:00.000 +0530,601766.6,3894,154.5368836671803
2018-02-01 00:00:00.000 +0530,994011.3,6451,154.08639164470625
