"delivery_days","count"
0,1
1,629
2,2874
3,3448
4,4497
5,5258
6,6507
7,7480
8,7123
9,6256
10,5793
11,5260
12,4937
13,4509
14,4101
15,3330
16,2816
17,2494
18,2280
19,1934
20,1801
21,1515
22,1362
23,1115
24,993
25,878
26,719
27,675
28,624
29,532
30,435
31,400
32,365
33,307
34,315
35,288
36,258
37,201
38,169
39,171
40,132
41,175
42,136
43,129
44,119
45,100
46,115
47,81
48,73
49,59
50,69
51,50
52,47
53,36
54,40
55,29
56,39
57,25
58,25
59,24
60,19
61,19
62,12
63,11
64,12
65,10
66,15
67,8
68,16
69,11
70,16
71,11
72,10
73,4
74,5
75,11
76,7
77,2
78,6
79,3
80,5
81,4
82,2
83,3
84,4
85,4
86,6
87,1
88,2
90,1
91,2
93,1
94,2
96,2
97,1
98,2
100,3
101,2
102,1
103,1
104,2
105,3
106,2
107,2
108,3
110,2
115,1
117,1
119,1
125,1
126,1
127,1
130,1
131,2
132,1
133,1
135,1
137,1
138,1
139,1
142,2
143,1
144,1
145,1
146,1
148,1
166,2
168,4
172,1
173,1
174,1
175,1
181,1
183,1
186,1
187,1
188,2
190,1
191,1
194,1
195,2
196,1
208,1
210,1
,8
