"product_category_name","rev"
pcs,1098.34
portateis_casa_forno_e_cafe,624.29
eletrodomesticos_2,476.12
agro_industria_e_comercio,342.12
instrumentos_musicais,281.62
eletroportateis,280.78
portateis_cozinha_e_preparadores_de_alimentos,264.57
telefonia_fixa,225.69
construcao_ferramentas_seguranca,208.99
relogios_presentes,201.14
climatizacao,185.27
moveis_quarto,183.75
pc_gamer,171.77
cool_stuff,167.36
moveis_cozinha_area_de_servico_jantar_e_jardim,164.87
moveis_escritorio,162.01
musica,158.80
construcao_ferramentas_construcao,155.73
construcao_ferramentas_ferramentas,154.41
industria_comercio_e_negocios,148.02
la_cuisine,146.78
seguros_e_servicos,141.64
automotivo,139.96
audio,139.25
consoles_games,138.49
casa_construcao,137.56
moveis_sala,137.01
construcao_ferramentas_iluminacao,135.13
casa_conforto,134.96
bebes,134.34
beleza_saude,130.16
malas_acessorios,128.60
brinquedos,117.55
perfumaria,116.74
informatica_acessorios,116.51
artes,115.80
moveis_colchao_e_estofado,114.95
esporte_lazer,114.34
"",112.00
ferramentas_jardim,111.63
pet_shop,110.07
sinalizacao_e_seguranca,108.09
construcao_ferramentas_jardim,108.05
artigos_de_festas,104.31
eletrodomesticos,103.98
cine_foto,96.30
dvds_blu_ray,93.74
cama_mesa_banho,93.30
papelaria,91.75
market_place,91.25
utilidades_domesticas,90.79
tablets_impressao_imagem,90.70
fashion_calcados,89.93
moveis_decoracao,87.56
livros_interesse_geral,84.73
fashion_roupa_masculina,81.80
livros_importados,77.33
artes_e_artesanato,75.58
fashion_bolsas_e_acessorios,75.25
fashion_underwear_e_moda_praia,72.84
livros_tecnicos,71.52
fashion_roupa_infanto_juvenil,71.23
telefonia,71.21
fashion_esporte,70.65
bebidas,59.18
fashion_roupa_feminina,58.41
eletronicos,57.91
alimentos,57.63
artigos_de_natal,57.52
alimentos_bebidas,54.60
cds_dvds_musicais,52.14
fraldas_higiene,40.19
flores,33.64
casa_conforto_2,25.34
